epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.293,1.97258,2.47923,1.73653,0.3864,0.38107,0.34016,0.13321,1.95748,2.64643,1.78298,0.000665325,0.000665325,0.000665325
2,455.077,1.99049,2.20886,1.78146,0.45129,0.40592,0.37731,0.14643,2.01754,2.2187,1.87973,0.00128804,0.00128804,0.00128804
3,671.245,2.02149,2.1615,1.80513,0.40988,0.3477,0.33,0.13338,2.07163,2.20448,1.9199,0.00186675,0.00186675,0.00186675
4,861.577,1.98962,2.09968,1.77532,0.39275,0.38935,0.31881,0.12996,2.00387,2.13703,1.84529,0.001802,0.001802,0.001802
5,1084.89,1.97538,2.02344,1.75688,0.47088,0.42722,0.40578,0.16464,2.00871,2.00335,1.819,0.001736,0.001736,0.001736
6,1322.42,1.93854,2.0121,1.73385,0.45376,0.39763,0.37815,0.15568,1.94946,1.95955,1.78617,0.00167,0.00167,0.00167
7,1520.65,1.91564,1.92756,1.71111,0.45873,0.4355,0.43236,0.18695,1.91415,1.84295,1.73736,0.001604,0.001604,0.001604
8,1716.2,1.91134,1.90001,1.71264,0.48274,0.43314,0.438,0.19092,1.8831,1.83325,1.70833,0.001538,0.001538,0.001538
9,1913.99,1.9023,1.88916,1.72295,0.49702,0.48284,0.48246,0.217,1.84393,1.76723,1.68708,0.001472,0.001472,0.001472
10,2113.12,1.84624,1.82788,1.66011,0.54174,0.45047,0.48041,0.21203,1.85122,1.76821,1.67462,0.001406,0.001406,0.001406
11,2311.31,1.81145,1.75901,1.65688,0.59098,0.46154,0.52079,0.23792,1.78082,1.66405,1.65913,0.00134,0.00134,0.00134
12,2571.32,1.82107,1.75072,1.65496,0.57995,0.44442,0.49912,0.226,1.80781,1.71256,1.64737,0.001274,0.001274,0.001274
13,2769.62,1.79782,1.72112,1.62949,0.62068,0.45562,0.52938,0.24705,1.81131,1.64775,1.6449,0.001208,0.001208,0.001208
14,2985.62,1.79027,1.70487,1.61711,0.58092,0.48284,0.52673,0.24395,1.7647,1.65778,1.6182,0.001142,0.001142,0.001142
15,3184.1,1.76546,1.66255,1.60535,0.57324,0.48008,0.5235,0.24631,1.77184,1.66595,1.65973,0.001076,0.001076,0.001076
16,3382.96,1.76908,1.68032,1.61704,0.60334,0.48521,0.55978,0.26243,1.73146,1.616,1.61559,0.00101,0.00101,0.00101
17,3581.99,1.75612,1.61654,1.59002,0.58006,0.49367,0.54282,0.24592,1.78068,1.59964,1.64156,0.000944,0.000944,0.000944
18,3779.11,1.73876,1.64619,1.60187,0.6054,0.49203,0.54033,0.2557,1.76786,1.63599,1.62744,0.000878,0.000878,0.000878
19,3980.39,1.70983,1.59381,1.59025,0.59975,0.51834,0.57341,0.27405,1.74364,1.55218,1.61033,0.000812,0.000812,0.000812
20,4180.15,1.69958,1.5575,1.55386,0.58992,0.52544,0.56707,0.26943,1.75527,1.55757,1.62387,0.000746,0.000746,0.000746
21,4424.35,1.64196,1.53382,1.54881,0.55054,0.51243,0.5428,0.26167,1.75101,1.55142,1.60811,0.00068,0.00068,0.00068
22,4711.35,1.63251,1.44165,1.54598,0.6049,0.51006,0.56362,0.27409,1.72906,1.5386,1.60553,0.000614,0.000614,0.000614
23,12232.6,1.60667,1.41785,1.52668,0.62083,0.52125,0.58194,0.28904,1.71305,1.51427,1.58042,0.000548,0.000548,0.000548
24,12425.8,1.56519,1.38863,1.50655,0.61536,0.51479,0.58386,0.28628,1.70245,1.48077,1.56168,0.000482,0.000482,0.000482
25,12641.2,1.55352,1.33661,1.48684,0.59613,0.53801,0.5754,0.28079,1.70902,1.49353,1.56177,0.000416,0.000416,0.000416
26,12836,1.55235,1.35925,1.47399,0.60065,0.51441,0.58099,0.28653,1.70901,1.47614,1.57995,0.00035,0.00035,0.00035
27,13045.4,1.54569,1.32792,1.4729,0.61138,0.48639,0.56102,0.27697,1.70734,1.47734,1.57713,0.000284,0.000284,0.000284
28,13242.4,1.51573,1.3123,1.46112,0.55798,0.50414,0.55705,0.27883,1.69264,1.49787,1.56934,0.000218,0.000218,0.000218
29,13439.2,1.50269,1.28926,1.45138,0.59709,0.51716,0.57727,0.29021,1.67937,1.46878,1.56155,0.000152,0.000152,0.000152
30,13646,1.49099,1.28208,1.45958,0.59982,0.52071,0.57212,0.28901,1.68629,1.47641,1.56589,8.6e-05,8.6e-05,8.6e-05
